clean_description,true_id,true_country,predicted_id,predicted_country,confidence,true_class_probability,correct
earthy plum and berry aroma come with hint rubber and animal this saturate chewy dark malbec with salty blackberry and savory oak flavor spicy blacken well oake finish balanced and healthy,6,Chile,0,Argentina,1.0,1.4211588e-08,False
you know falernia and elqui then this fit the mold you don you probably find this malbec weird unlikable herbal aroma olive and road tar common the winery and region the mouth this heavy syrupy and lack lift blacken stewy berry flavor include note cardamom and chocolate flabby finish this taste coffee ground,6,Chile,0,Argentina,0.9999999,6.307427e-08,False
leather berry earth raisin and roasted quality define the nose this tempranillo lead blend four grape feel good the mouth with active raspberry plum and coffee flavor that come with roasted accent mildly leafy baked and woody the thorough finish,0,Argentina,32,Spain,0.99999964,1.2693299e-07,False
strain jumbled aroma mustard horseradish and green grass fail many way this feel wide edgy and tartaric and thus overall balance shaky high acidity create sense sourness while this tannat from salta finish choppy and acidic,0,Argentina,37,Uruguay,0.9999995,6.9017114e-12,False
this cretan indigenous white offer aroma toast lime and grapefruit with follow flavor peach lemon and spice the wine have see oak but offer brisk edge pair with poultry and light fish dish,8,Cyprus,14,Greece,0.9999994,2.6228153e-07,False
peach pit and stone fruit aroma dry and touch bitter because this young juicy and minerally its current state with citric acidity the driver seat nectarine and tangerine flavor finish fresh but simple,0,Argentina,32,Spain,0.9999994,3.8093432e-08,False
distinct dried pear apricot and sultana note signal some evolution this wine the same rich dry fruit note accent with zesty grapefruit freshness the dry concentrated palate finish with pithy bitterness and moreish streak lemon rather advanced for the vintage but still evolve drink now 2022,2,Austria,11,France,0.9999989,2.4301568e-07,False
slick wax and lanolin lend mineral tone bright apple cider and honey note this sprightly semisweet riesle spine tingle with acidity elegant classically style wine with pristine fruit focus finish,35,US,13,Germany,0.9999988,1.1516469e-06,False
lime and green melon aroma bit less than clean and pure and the palate serve pile jalape and bell pepper with some lime the background short the finish and kind dilute,0,Argentina,6,Chile,0.9999987,1.5764593e-08,False
lime and green melon aroma bit less than clean and pure and the palate serve pile jalape and bell pepper with some lime the background short the finish and kind dilute,0,Argentina,6,Chile,0.9999987,1.5764593e-08,False
